Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/03/2025,05/04/2025,NYTIMES*,Bills & Utilities,Sale,-28.00,
05/03/2025,05/04/2025,PUBLIC STORAGE 08482,Home,Sale,-1051.00,
05/03/2025,05/04/2025,PUBLIC STORAGE 08482,Home,Sale,-553.00,
05/01/2025,05/02/2025,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00,
05/01/2025,05/01/2025,SHOEBOXED.COM,Shopping,Sale,-69.00,
04/30/2025,05/01/2025,PAYPAL *INTERNETARC,Gifts & Donations,Sale,-50.00,
04/30/2025,05/01/2025,BLUE SHIELD CALIFORNIA,Bills & Utilities,Sale,-293.00,
04/26/2025,04/28/2025,MARINA CLEANERS,Personal,Sale,-44.00,
04/26/2025,04/27/2025,Netflix.com,Bills & Utilities,Sale,-7.99,
04/24/2025,04/24/2025,Spotify USA,Bills & Utilities,Sale,-19.99,
04/22/2025,04/23/2025,GITHUB  INC.,Professional Services,Sale,-14.00,
04/22/2025,04/23/2025,GITHUB,Professional Services,Sale,-5.00,
04/19/2025,04/21/2025,MARINA CLEANERS,Personal,Sale,-28.00,
04/20/2025,04/21/2025,FLICKR PRO MONTHLY,Personal,Sale,-10.44,
04/17/2025,04/18/2025,WEB*BLUEHOST.COM,Bills & Utilities,Sale,-19.99,
04/17/2025,04/18/2025,GOOGLE *FI WP25zR,Bills & Utilities,Sale,-161.47,
04/16/2025,04/17/2025,GOOGLE *Snapwood Apps,Professional Services,Sale,-3.99,
04/16/2025,04/17/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
04/15/2025,04/16/2025,ST. PAULS SCHOOL,Gifts & Donations,Sale,-20.00,
04/14/2025,04/15/2025,SF CHRONICLE SUBSCRIPT,Bills & Utilities,Sale,-13.96,
04/12/2025,04/14/2025,MARINA CLEANERS,Personal,Sale,-40.00,
04/13/2025,04/14/2025,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00,
04/12/2025,04/13/2025,BUCKINGHAM BROWNE &amp;,Gifts & Donations,Sale,-25.00,
04/09/2025,04/11/2025,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50,
04/06/2025,04/08/2025,MARINA CLEANERS,Personal,Sale,-36.00,
04/05/2025,04/06/2025,NYTIMES*,Bills & Utilities,Sale,-28.00,
04/04/2025,04/04/2025,AUTOMATIC PAYMENT - THANK,,Payment,2915.27,
04/02/2025,04/03/2025,GOOGLE *Google Store,Shopping,Sale,-4.00,
04/03/2025,04/03/2025,GOOGLE *Google Store,Shopping,Return,3.93,
04/03/2025,04/03/2025,PUBLIC STORAGE 08482,Home,Sale,-553.00,
04/03/2025,04/03/2025,PUBLIC STORAGE 08482,Home,Sale,-1051.00,
04/01/2025,04/03/2025,CALIFORNIA WINE MERCHANT,Entertainment,Sale,-278.75,
04/01/2025,04/02/2025,SHOEBOXED.COM,Shopping,Sale,-69.00,
04/01/2025,04/02/2025,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00,
03/29/2025,04/01/2025,MARINA CLEANERS,Personal,Sale,-36.00,
03/31/2025,04/01/2025,PAYPAL *INTERNETARC,Gifts & Donations,Sale,-50.00,
03/31/2025,04/01/2025,BLUE SHIELD CALIFORNIA,Bills & Utilities,Sale,-293.00,
03/26/2025,03/27/2025,Netflix.com,Bills & Utilities,Sale,-7.99,
03/23/2025,03/25/2025,MARINA CLEANERS,Personal,Sale,-36.00,
03/24/2025,03/24/2025,Spotify USA,Bills & Utilities,Sale,-19.99,
03/22/2025,03/23/2025,GITHUB,Professional Services,Sale,-5.00,
03/22/2025,03/23/2025,GITHUB  INC.,Professional Services,Sale,-14.00,
03/21/2025,03/21/2025,MIDJOURNEY INC.,Shopping,Sale,-96.00,
03/20/2025,03/21/2025,FLICKR PRO MONTHLY,Personal,Sale,-10.44,
03/20/2025,03/20/2025,CNP* WIRED - DIGITAL S,Professional Services,Sale,-30.00,
03/16/2025,03/18/2025,MARINA CLEANERS,Personal,Sale,-36.00,
03/17/2025,03/18/2025,GOOGLE *FI HPWvQz,Bills & Utilities,Sale,-147.44,
03/17/2025,03/18/2025,SF CHRONICLE SUBSCRIPT,Bills & Utilities,Sale,-13.96,
03/17/2025,03/18/2025,ST. PAULS SCHOOL,Gifts & Donations,Sale,-20.00,
03/16/2025,03/17/2025,GOOGLE *SkyFolio OneDr,Entertainment,Sale,-3.99,
03/16/2025,03/17/2025,WEB*BLUEHOST.COM,Bills & Utilities,Sale,-263.88,
03/16/2025,03/17/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
03/13/2025,03/14/2025,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00,
03/12/2025,03/13/2025,BUCKINGHAM BROWNE &amp;,Gifts & Donations,Sale,-25.00,
03/09/2025,03/11/2025,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50,
03/09/2025,03/11/2025,MARINA CLEANERS,Personal,Sale,-36.00,
03/08/2025,03/09/2025,ONLINE PASSPORT FEES,Bills & Utilities,Sale,-160.00,
03/08/2025,03/09/2025,NYTIMES*,Bills & Utilities,Sale,-28.00,
03/07/2025,03/07/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-69.90,
03/04/2025,03/04/2025,AUTOMATIC PAYMENT - THANK,,Payment,5207.19,
03/04/2025,03/04/2025,MICROSOFT*MICROSOFT 365 F,Shopping,Sale,-129.99,
03/02/2025,03/03/2025,GOOGLE *Google Store,Shopping,Sale,-4.00,
03/03/2025,03/03/2025,PUBLIC STORAGE 08482,Home,Sale,-553.00,
03/03/2025,03/03/2025,PUBLIC STORAGE 08482,Home,Sale,-1051.00,
03/01/2025,03/03/2025,MARINA CLEANERS,Personal,Sale,-32.00,
03/01/2025,03/02/2025,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00,
03/01/2025,03/02/2025,SHOEBOXED.COM,Shopping,Sale,-69.00,
02/28/2025,03/02/2025,BLUE SHIELD CALIFORNIA,Bills & Utilities,Sale,-293.00,
02/28/2025,03/02/2025,PAYPAL *INTERNETARC,Gifts & Donations,Sale,-50.00,
02/26/2025,02/27/2025,Netflix.com,Bills & Utilities,Sale,-7.99,
02/24/2025,02/24/2025,Spotify USA,Bills & Utilities,Sale,-19.99,
02/22/2025,02/24/2025,MARINA CLEANERS,Personal,Sale,-36.00,
02/22/2025,02/23/2025,GITHUB  INC.,Professional Services,Sale,-14.00,
02/22/2025,02/23/2025,GITHUB,Professional Services,Sale,-5.00,
02/20/2025,02/20/2025,FLICKR PRO MONTHLY,Personal,Sale,-10.44,
02/16/2025,02/18/2025,MARINA CLEANERS,Personal,Sale,-28.00,
02/17/2025,02/18/2025,ST. PAULS SCHOOL,Gifts & Donations,Sale,-20.00,
02/17/2025,02/18/2025,SF CHRONICLE SUBSCRIPT,Bills & Utilities,Sale,-7.96,
02/17/2025,02/18/2025,GOOGLE *FI Xvv92S,Bills & Utilities,Sale,-147.44,
02/16/2025,02/17/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
02/13/2025,02/14/2025,GOOGLE *OtterAI Transc,Professional Services,Sale,-99.99,
02/13/2025,02/14/2025,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00,
02/12/2025,02/13/2025,BUCKINGHAM BROWNE &amp;,Gifts & Donations,Sale,-25.00,
02/10/2025,02/12/2025,MARINA CLEANERS,Personal,Sale,-36.00,
02/10/2025,02/12/2025,PERRY'S ON UNION ST,Food & Drink,Sale,-75.00,
02/09/2025,02/11/2025,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50,
